id,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35303,151977,Miyuki,N/A,N/A,N/A,Shibuya District,3,3,Shibuya District,Shibuya Ku,Apartment,Private room,1,1,1,1,"$4,183.00",1,$0.00,28,1125,28,28,1125,1125,18,0,94,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197677,964081,Yoshimi & Marek,within a few hours,100%,88%,Sumida District,1,1,Sumida District,Sumida Ku,Apartment,Entire home/apt,2,1,1,2,"$11,048.00",1,$0.00,3,365,3,3,365,365,165,11,95,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289597,341577,Hide&Kei,within a few hours,100%,82%,Nerima District,2,2,Nerima District,Nerima Ku,Apartment,Entire home/apt,2,1,1,1,"$4,171.00",1,"$1,070.00",28,180,1,30,180,180,113,7,95,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370759,1573631,"Gilles,Mayumi,Taiki",within a day,100%,93%,Setagaya District,3,3,Setagaya District,Setagaya Ku,Apartment,Entire home/apt,2,1,0,1,"$6,952.00",1,$0.00,28,720,28,28,720,720,103,5,95,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700253,341577,Hide&Kei,within a few hours,100%,82%,Nerima District,2,2,Nerima District,Nerima Ku,Apartment,Entire home/apt,2,1,1,1,"$3,957.00",1,"$1,070.00",28,180,1,28,180,180,103,3,96,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872235,1573631,"Gilles,Mayumi,Taiki",within a day,100%,93%,Setagaya District,3,3,Setagaya District,Setagaya Ku,House,Entire home/apt,3,1,2,2,"$8,045.00",1,$550.00,28,720,28,28,720,720,44,3,96,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899003,4799233,Yu,within a few hours,100%,100%,Shinjuku District,2,2,Shinjuku District,Shinjuku Ku,Apartment,Entire home/apt,3,1,1,4,"$5,149.00",3,$0.00,30,365,30,30,365,365,93,4,90,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016831,5596383,Wakana,within an hour,100%,100%,Shimokitazawa,1,1,Shimokitazawa,Setagaya Ku,House,Private room,2,1,1,1,"$6,952.00",1,"$6,000.00",1,60,1,1,1125,1125,211,16,99,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033276,5686404,Yukiko,within a few hours,100%,86%,Adachi District,2,2,Adachi District,Adachi Ku,House,Private room,2,1,1,0,"$3,530.00",1,"$2,000.00",1,90,1,2,1125,1125,72,0,91,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096292,6018145,Mari,within a few hours,100%,49%,Shinjuku District,3,3,Shinjuku District,Shinjuku Ku,House,Private room,4,1,1,3,"$10,726.00",3,$0.00,1,1124,1,21,1124,1124,251,20,98,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196177,5686404,Yukiko,within a few hours,100%,86%,Adachi District,2,2,Adachi District,Adachi Ku,House,Private room,2,1,1,2,"$3,530.00",1,"$2,000.00",2,30,2,2,1125,1125,95,22,94,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249571,6809418,Yume,within a few hours,100%,82%,Shibuya District,1,1,Shibuya District,Shibuya Ku,House,Entire home/apt,3,1,1,1,"$31,980.00",1,$0.00,4,1125,4,4,1125,1125,98,12,99,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256034,6834839,Tokyo'S Best Stay,N/A,N/A,96%,Shibuya District,3,3,Shibuya District,Shibuya Ku,Apartment,Private room,6,1,2,4,"$12,335.00",1,"$2,682.00",1,1125,1,1,1125,1125,134,11,93,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263000,6876728,Haruko,within an hour,100%,90%,Setagaya District,1,1,Setagaya District,Setagaya Ku,House,Private room,2,1,1,2,"$5,990.00",1,$0.00,3,1125,3,3,1125,1125,185,14,96,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289173,151977,Miyuki,N/A,N/A,N/A,Shibuya District,3,3,Shibuya District,Shibuya Ku,Serviced apartment,Entire home/apt,2,1,1,1,"$7,830.00",1,"$2,000.00",28,1125,28,28,1125,1125,49,0,95,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
